Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Topic
"What is the purpose of Azure Policy?","To estimate cloud costs","To enforce rules and compliance for resources","To create virtual machines","To monitor application code","B","Governance"
"What does RBAC control in Azure?","Network speed","User permissions and access","Storage replication","Monthly billing","B","Identity and Access"
"What does the Azure Pricing Calculator help estimate?","Future exam scores","Expected Azure service costs","User login attempts","Firewall rules","B","Cost Management"
Identity"
"What does Azure Monitor help you do?","Track performance and collect metrics/logs","Create user accounts","Estimate migration savings","Deploy physical servers","A","Monitoring"
"What is the purpose of Azure Service Health?","To show Azure service issues that may affect your resources","To create virtual machines","To assign user permissions","To encrypt storage accounts","A","Monitoring"
"What does the Azure TCO Calculator help estimate?","The cost savings of moving workloads to Azure","The number of users in a tenant","The uptime of a virtual machine","The size of a resource group","A","Cost Management"
"What is the purpose of tags in Azure?","To organize and categorize resources","To encrypt virtual machines","To create network routes","To assign IP addresses","A","Governance"
"What does a resource lock help prevent?","Accidental deletion or modification of resources","Unauthorized password resets","Slow internet speeds","Expired subscriptions","A","Governance"
"What is Azure RBAC used for?","Managing access to Azure resources","Creating backup schedules","Monitoring CPU usage","Estimating monthly costs","A","Identity and Access"
"What is the purpose of the Azure Pricing Calculator?","To estimate the cost of Azure services before deployment","To monitor active threats","To create compliance policies","To deploy applications automatically","A","Cost Management"
"What is a resource group in Azure?","A container for managing related Azure resources","A billing invoice","A type of firewall","A physical datacenter","A","Core Azure Services"
"What is the cloud benefit of scalability?","The ability to increase or decrease resources based on demand","The ability to permanently delete resources","The ability to avoid all security updates","The ability to use only physical servers","A","Cloud Concepts"
